,INC-03,docs-running-cf,index.html.md.erb,14,"[Managing users](../operating/t-uaa/uaa-user-management.html) — TAS-specific path that 404s in the OSS CF book",Change path to /uaa/uaa-user-management.html,"",
,INC-04,docs-cf-admin,notifications.html.md.erb,27,"../operating/cf-cli/install-cf-cli.html — TAS-specific path for cf CLI install that 404s in the OSS CF book",Change to /cf-cli/install-go-cli.html,"",
,INC-05,docs-cf-admin,distributed-tracing.html.md.erb,31,"B3 single-header described as only a combination of X-B3-Traceid and X-B3-Spanid — incomplete; B3 also carries trace flags",Expand description to mention the trace flags field,"",
,INC-06,docs-cf-admin,configuring-delayed-job-priorities.html.md.erb,,"Self-contradictory priority explanation (see also TYP-13) — verify full paragraph is internally consistent after TYP-13 fix",Review full paragraph after TYP-13 is applied,"",
,INC-07,docs-cf-admin,"extended-app-support.html.md.erb, extended-app-support-old.html.md.erb",,"Two files with identical titles covering overlapping content (10.2.1+ vs 10.2.2+); -old file is unreferenced from subnav and appears to be a superseded draft","Decide: delete -old, or rename it clearly as historical","",
,INC-08,docs-book-cloudfoundry,master_middleman/source/subnavs/_cf-subnav.erb,"7, 66, 360","Three section headings use inconsistent HTML patterns. Lines 7 and 66: <li><strong>text</strong></li> (no children). Line 360: <li><strong> with child <ul> inside same <li>. AGENTS.md requires <li class=""has_submenu""><span> for sections with children.",Normalize all three headings to consistent pattern (see HTML-02 for line 360),"",
,,,,,,,,
4a - Topics Previously in Subnav (removed — restore or archive?),ID,Repo,File,TOC Path,Last Subnav Title,Removed Intentionally?,Action,Notes
,TOC-01,docs-cf-admin,bbs-encryption-keys.html.md.erb,/adminguide/bbs-encryption-keys.html,Bulletin Board System (BBS) Data Store Encryption,No explicit reason in commit,"",
,TOC-02,docs-cf-admin,routing-keepalive.html.md.erb,/adminguide/routing-keepalive.html,Router Back-End Keepalive Connections,No explicit reason in commit,"",
,TOC-03,docs-running-cf,trusted-system-certificates.html.md.erb,/running/trusted-system-certificates.html,Configuring Trusted System Certificates for Applications,No explicit reason in commit,"",
,TOC-04,docs-running-cf,setting-rate-limit-cloud-api.html.md.erb,/running/setting-rate-limit-cloud-api.html,Setting the Rate Limit for the Cloud Controller API,No explicit reason in commit,"",
,TOC-05,docs-running-cf,deploy-vol-services.html.md.erb,/running/deploy-vol-services.html,Adding Volume Services to your Deployment,No explicit reason in commit,"",
,TOC-06,docs-running-cf,cf-api-endpoint.html.md.erb,/running/cf-api-endpoint.html,Identifying your Cloud Foundry API Endpoint and Version,No explicit reason in commit,"",
,TOC-07,docs-deploying-cf,max-container-starts.html.md.erb,/deploying/max-container-starts.html,Setting a Maximum Number of Started Containers (was at /adminguide/ path — file has since moved),No explicit reason in commit,"",
,TOC-08,docs-buildpacks,developing-buildpacks.html.md.erb,/buildpacks/developing-buildpacks.html,Customizing and developing buildpacks in Cloud Foundry,YES — commit says topic combined with custom.html,"",
,TOC-09,docs-deploying-cf,migrating.html.md.erb,/deploying/migrating.html,Migrating from cf-release to cf-deployment,YES — commit says remove cf-release migration topic - 7 years old,"",
,TOC-10,docs-buildpacks,java/bosh_custom_trusted_certs.html.md.erb,/buildpacks/java/bosh_custom_trusted_certs.html,BOSH Custom Trusted Certificate Support (was under Java buildpack section),No explicit reason in commit,"",
,,,,,,,,
4b - Topics Never in Subnav (review before deciding),ID,Repo,File,TOC Path,Notes on File,,,
,TOC-11,docs-running-cf,custom-stack.html.md.erb,/running/custom-stack.html,Added to repo but never in subnav. Cross-referenced from stacks.html.md.erb as where to learn about custom stacks.,,,
,TOC-12,docs-buildpacks,sidecar-buildpacks.html.md.erb,/buildpacks/sidecar-buildpacks.html,Added to repo but never surfaced in subnav.,,,
,TOC-13,docs-buildpacks,system-buildpacks.html.md.erb,/buildpacks/system-buildpacks.html,Added to repo but never surfaced in subnav.,,,
,TOC-14,docs-buildpacks,hwc/extension-buildpack.html.md.erb,/buildpacks/hwc/extension-buildpack.html,Added to repo (moved from .NET Core section) but never surfaced in subnav.,,,
,TOC-15,docs-buildpacks,hwc/web-config-transform-buildpack.html.md.erb,/buildpacks/hwc/web-config-transform-buildpack.html,Added to repo but never surfaced in subnav.,,,
,TOC-16,docs-deploying-cf,cf-release-eol.html.md.erb,/deploying/cf-release-eol.html,Added to repo but never surfaced in subnav. Referenced internally from migrating.html.,,,
,TOC-17,docs-uaa,uaa-deploy.html.md.erb,/uaa/uaa-deploy.html,FILE DOES NOT EXIST. Subnav has a live broken link to it (Deploy UAA). File must be created or link removed. See also HTML-04.,,,
